0,1,2
93,158,0
147,108,0
122,108,0
105,91,0
99,88,0
93,74,0
85,71,0
86,97,0
86,102,0
82,55,0
82,89,0
75,72,0
77,124,0
66,31,0
60,99,0
56,89,0
53,20,0
50,49,0
45,60,0
42,31,0
41,58,0
36,58,0
50,93,0
55,118,0
55,135,0
82,129,0
99,121,0
107,116,0
110,111,0
122,86,0
122,71,0
118,55,0
113,49,0
89,27,0
94,24,0
107,20,0
119,31,0
132,31,0
151,41,0
155,50,0
155,66,0
152,75,0
146,96,0
135,111,0
110,124,0
50,96,0
27,75,0
38,116,0
50,129,0
60,136,0
72,144,0
77,149,0
49,276,0
45,267,0
38,318,0
36,323,0
47,300,0
61,279,0
60,333,0
78,333,0
82,333,0
82,318,0
88,293,0
61,246,0
19,275,0
33,318,0
52,339,0
74,345,0
78,345,0
44,359,0
38,358,0
33,351,0
28,337,0
28,326,0
27,307,0
27,282,0
33,253,0
36,246,0
55,245,0
75,256,0
86,264,0
96,273,0
107,281,0
115,290,0
121,306,0
121,315,0
121,320,0
121,329,0
105,345,0
91,356,0
94,345,0
96,339,0
97,331,0
97,325,0
97,315,0
97,298,0
88,279,0
77,267,0
75,275,0
77,293,0
74,325,0
72,333,0
67,351,0
63,365,0
63,370,0
77,372,0
33,373,0
28,367,0
28,351,0
27,344,0
24,334,0
22,329,0
19,322,0
17,315,0
13,304,0
11,298,0
11,285,0
13,271,0
14,262,0
17,249,0
20,246,0
30,237,0
42,232,0
60,229,0
88,231,0
93,235,0
107,245,0
121,260,0
127,279,0
133,303,0
140,322,0
135,345,0
127,351,0
121,361,0
110,373,0
97,375,0
89,378,0
71,384,0
58,384,0
44,383,0
28,365,0
19,347,0
16,337,0
13,322,0
6,265,0
55,295,0
66,325,0
50,303,0
42,290,0
53,300,0
82,309,0
91,260,0
74,248,0
115,267,0
116,276,0
132,296,0
146,311,0
152,320,0
146,340,0
146,314,0
102,256,0
78,245,0
75,235,0
75,232,0
72,201,0
47,77,0
52,63,0
67,31,0
38,19,0
35,44,0
31,63,0
31,88,0
31,102,0
42,110,0
72,66,0
74,60,0
99,50,0
113,47,0
121,60,0
122,69,0
127,78,0
287,322,1
303,334,1
331,355,1
350,362,1
350,359,1
340,331,1
336,320,1
329,317,1
350,344,1
339,309,1
361,315,1
348,275,1
347,333,1
328,328,1
315,322,1
311,293,1
317,303,1
312,309,1
309,323,1
306,326,1
312,356,1
298,350,1
293,347,1
276,317,1
276,311,1
290,301,1
301,293,1
312,284,1
323,276,1
337,270,1
345,270,1
359,270,1
369,279,1
369,290,1
370,309,1
372,322,1
375,336,1
375,348,1
356,348,1
344,334,1
345,296,1
345,284,1
340,315,1
331,287,1
331,315,1
329,339,1
320,329,1
304,326,1
309,315,1
317,334,1
328,358,1
303,325,1
298,312,1
306,323,1
334,356,1
318,342,1
336,337,1
342,318,1
351,279,1
351,248,1
314,262,1
307,275,1
292,293,1
287,303,1
276,315,1
270,339,1
279,351,1
303,372,1
322,380,1
339,381,1
345,381,1
353,367,1
362,342,1
369,296,1
372,270,1
361,248,1
309,248,1
282,278,1
271,301,1
270,314,1
270,350,1
317,372,1
359,331,1
347,292,1
317,251,1
285,253,1
282,257,1
278,242,1
276,234,1
322,235,1
260,249,1
265,271,1
265,276,1
265,296,1
260,317,1
256,329,1
256,337,1
249,260,1
318,53,1
344,97,1
351,55,1
350,47,1
355,55,1
311,33,1
311,50,1
306,82,1
306,99,1
329,100,1
356,78,1
361,56,1
318,38,1
303,47,1
298,71,1
281,49,1
279,44,1
304,17,1
322,14,1
331,17,1
339,17,1
347,19,1
355,20,1
365,36,1
373,60,1
378,78,1
376,88,1
362,102,1
340,116,1
325,124,1
300,125,1
271,94,1
271,83,1
287,104,1
273,85,1
271,72,1
268,61,1
279,66,1
267,36,1
275,30,1
279,33,1
289,20,1
296,20,1
304,14,1
320,45,1
320,74,1
322,85,1
336,64,1
336,56,1
337,45,1
334,67,1
333,27,1
307,38,1
290,72,1
293,85,1
298,104,1
312,118,1
326,107,1
331,96,1
348,78,1
289,97,1
284,96,1
249,41,1
251,64,1
253,75,1
254,85,1
259,94,1
270,102,1
281,113,1
290,129,1
315,149,1
336,151,1
348,140,1
355,136,1
365,129,1
378,115,1
381,105,1
384,80,1
381,58,1
361,39,1
348,36,1
328,85,1
317,135,1
293,155,1
282,77,1
292,104,1
307,166,1
340,173,1
295,147,1
301,152,1
221,158,1
209,171,1
226,190,1
232,162,1
185,165,1
224,226,1
213,184,1
210,146,1
195,202,1
251,155,1
284,215,1
293,209,1
